sid,fid,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,distance,angle,rk,rk_count,mammal,wc_num,wc_dist,wc_type,wc_year,wc_road_n
6481,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,0,180.4034115,0,83,0,1570,12.77423309,1,2019,4
6482,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,1000,200.2281021,0,42,0,1275,12.33962593,1,2008,8
6483,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,2000,190.94339,0,57,0,1275,11.42053315,1,2008,8
6484,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,3000,179.9812437,0,56,0,1275,10.66096889,1,2008,8
6485,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,4000,182.3968931,0,47,0,1275,9.964345598,1,2008,8
6486,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,5000,182.3995003,0,51,0,1275,9.307570336,1,2008,8
6487,57683,2860025401,2860027000,2860026402,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6122.832881,,44150,공주시,,44150,51,6000,195.2021943,0,59,0,1375,8.633170839,2,2009,2
6488,57677,2860031403,2860029600,2860029700,2,103,0,32,금벽로,0,0,0,70,0,0,0,1344.640235,,44150,공주시,,44150,51,0,294.2191141,0,0,0,1375,4.987815186,2,2009,2
6489,57677,2860031403,2860029600,2860029700,2,103,0,32,금벽로,0,0,0,70,0,0,0,1344.640235,,44150,공주시,,44150,51,1000,329.5051014,0,1,0,1375,4.386942265,2,2009,2
6490,57676,2860031304,2860029800,2860029700,2,103,0,32,금벽로,0,0,0,70,0,0,0,770.4243068,,44150,공주시,,44150,51,0,126.7990888,0,1,1,1375,3.795110764,2,2009,2
